stage,method,weight_boundary,threshold,sensitivity,specificity,mcc,w12,w23,w34,qwk,macro_f1
stage1,weighted,0.1,0.15000000000000002,0.9832677165354331,0.375886524822695,0.5056859864187406,,,,,
stage1,weighted,0.1,0.20000000000000004,0.9744094488188977,0.5,0.5842990771606693,,,,,
stage1,weighted,0.1,0.25000000000000006,0.9576771653543307,0.6063829787234043,0.6268668359839826,,,,,
stage1,weighted,0.1,0.30000000000000004,0.9429133858267716,0.7127659574468085,0.6765583431871154,,,,,
stage1,weighted,0.1,0.3500000000000001,0.9330708661417323,0.7943262411347518,0.7183772355810679,,,,,
stage1,weighted,0.1,0.40000000000000013,0.9212598425196851,0.8617021276595744,0.7468072187504919,,,,,
stage1,weighted,0.1,0.45000000000000007,0.906496062992126,0.8971631205673759,0.7481555385648027,,,,,
stage1,weighted,0.1,0.5000000000000001,0.8937007874015748,0.9148936170212766,0.7410604586562344,,,,,
stage1,weighted,0.1,0.5500000000000002,0.8799212598425197,0.9219858156028369,0.7256313460327471,,,,,
stage1,weighted,0.1,0.6000000000000002,0.8661417322834646,0.9468085106382979,0.7245549579620666,,,,,
stage1,weighted,0.1,0.6500000000000001,0.8612204724409449,0.9716312056737588,0.73643542801742,,,,,
stage1,weighted,0.1,0.7000000000000002,0.8415354330708661,0.9822695035460993,0.7184714536177805,,,,,
stage1,weighted,0.1,0.7500000000000002,0.8169291338582677,0.9893617021276596,0.6934484069190684,,,,,
stage1,weighted,0.1,0.8000000000000002,0.7923228346456693,1.0,0.6732125147382213,,,,,
stage1,weighted,0.1,0.8500000000000002,0.7568897637795275,1.0,0.6352037218209395,,,,,
stage1,weighted,0.1,0.9000000000000002,0.7066929133858267,1.0,0.586173155503064,,,,,
stage1,weighted,0.15000000000000002,0.1,0.9931102362204725,0.2624113475177305,0.4356233998389572,,,,,
stage1,weighted,0.15000000000000002,0.15000000000000002,0.984251968503937,0.375886524822695,0.5089292068652318,,,,,
stage1,weighted,0.15000000000000002,0.20000000000000004,0.9734251968503937,0.5070921985815603,0.5873561385686563,,,,,
stage1,weighted,0.15000000000000002,0.25000000000000006,0.9566929133858267,0.6134751773049646,0.6301320983034169,,,,,
stage1,weighted,0.15000000000000002,0.30000000000000004,0.9429133858267716,0.7269503546099291,0.6872422154078736,,,,,
stage1,weighted,0.15000000000000002,0.3500000000000001,0.9330708661417323,0.8049645390070922,0.7262516465031469,,,,,
stage1,weighted,0.15000000000000002,0.40000000000000013,0.9183070866141733,0.8652482269503546,0.7443163806769737,,,,,
stage1,weighted,0.15000000000000002,0.45000000000000007,0.9045275590551181,0.8971631205673759,0.7449721747723728,,,,,
stage1,weighted,0.15000000000000002,0.5000000000000001,0.8917322834645669,0.9148936170212766,0.7380370894153118,,,,,
stage1,weighted,0.15000000000000002,0.5500000000000002,0.8759842519685039,0.925531914893617,0.7225518607512506,,,,,
stage1,weighted,0.15000000000000002,0.6000000000000002,0.8651574803149606,0.9574468085106383,0.731183396441187,,,,,
stage1,weighted,0.15000000000000002,0.6500000000000001,0.8533464566929134,0.975177304964539,0.7285137143233439,,,,,
stage1,weighted,0.15000000000000002,0.7000000000000002,0.8356299212598425,0.9858156028368794,0.7136670644229359,,,,,
stage1,weighted,0.15000000000000002,0.7500000000000002,0.812007874015748,0.9929078014184397,0.690332921348807,,,,,
stage1,weighted,0.15000000000000002,0.8000000000000002,0.7795275590551181,1.0,0.6591208236619961,,,,,
stage1,weighted,0.15000000000000002,0.8500000000000002,0.7460629921259843,1.0,0.6241880114723382,,,,,
stage1,weighted,0.15000000000000002,0.9000000000000002,0.6604330708661418,1.0,0.5450109022280667,,,,,
stage1,weighted,0.2,0.1,0.9940944881889764,0.2730496453900709,0.45028747252674606,,,,,
stage1,weighted,0.2,0.15000000000000002,0.984251968503937,0.37943262411347517,0.5120646808111871,,,,,
stage1,weighted,0.2,0.20000000000000004,0.9714566929133859,0.5106382978723404,0.5849311019916534,,,,,
stage1,weighted,0.2,0.25000000000000006,0.9566929133858267,0.6170212765957447,0.6328880204269772,,,,,
stage1,weighted,0.2,0.30000000000000004,0.9438976377952756,0.7411347517730497,0.6998449729575259,,,,,
stage1,weighted,0.2,0.3500000000000001,0.9320866141732284,0.8191489361702128,0.7348888222796891,,,,,
stage1,weighted,0.2,0.40000000000000013,0.9173228346456693,0.8652482269503546,0.7426298528874203,,,,,
stage1,weighted,0.2,0.45000000000000007,0.8996062992125984,0.900709219858156,0.7397452687926124,,,,,
stage1,weighted,0.2,0.5000000000000001,0.889763779527559,0.9184397163120568,0.7376754170439201,,,,,
stage1,weighted,0.2,0.5500000000000002,0.8740157480314961,0.9432624113475178,0.7330084398677095,,,,,
stage1,weighted,0.2,0.6000000000000002,0.8641732283464567,0.9680851063829787,0.7378139128790476,,,,,
stage1,weighted,0.2,0.6500000000000001,0.8464566929133859,0.975177304964539,0.7194516710900561,,,,,
stage1,weighted,0.2,0.7000000000000002,0.8316929133858267,0.9929078014184397,0.7141429265752396,,,,,
stage1,weighted,0.2,0.7500000000000002,0.8041338582677166,1.0,0.6866195901690701,,,,,
stage1,weighted,0.2,0.8000000000000002,0.7667322834645669,1.0,0.6454502154394289,,,,,
stage1,weighted,0.2,0.8500000000000002,0.7145669291338582,1.0,0.5935372718157845,,,,,
stage1,weighted,0.2,0.9000000000000002,0.6387795275590551,1.0,0.5268387372983409,,,,,
stage1,weighted,0.25,0.1,0.9940944881889764,0.2730496453900709,0.45028747252674606,,,,,
stage1,weighted,0.25,0.15000000000000002,0.984251968503937,0.3829787234042553,0.5151877026488771,,,,,
stage1,weighted,0.25,0.20000000000000004,0.9734251968503937,0.5106382978723404,0.5902197350327766,,,,,
stage1,weighted,0.25,0.25000000000000006,0.9557086614173228,0.6347517730496454,0.6443711087953161,,,,,
